"0","zz <- ggplot(error_acc_bSubj_partner, aes(y=mean_bSubj, x=partner_type, fill=partner_type)) + "
"0","  geom_point(data= error_acc_wSubj_partner, aes(y=rate, x=partner_type, color=partner_type), stat=""identity"", position = position_jitter(w = 0.05), size=0.8) + "
"0","  scale_colour_manual(values = pal1) +"
"0","    geom_point(stat=""identity"", color = ""black"", position=position_dodge(), size=2) +"
"0","  geom_errorbar(aes(ymin=mean_bSubj-sem_bSubj, ymax=mean_bSubj+sem_bSubj), width=.2, position=position_dodge(.9)) +"
"0","  labs(y=""Average error rate"", x=""Block"") +"
"0","  theme(axis.text=element_text(size=12), axis.title=element_text(size=16)) +"
"0","  ylim(0,1) +"
"0","  facet_grid(error ~ block)"
"0","zz"
"2","Warnung:"
"2"," [38;5;232mWidth not defined
[36mℹ[38;5;232m Set with `position_dodge(width = ...)`[39m
"
"2","Warnung:"
"2"," [38;5;232mRemoved 122 rows containing missing values or values outside the scale range (`geom_point()`).[39m
"
