"subjID","partner_type","mean","sd","sem","n"
"1","same",1071.81395348837,319.692654175847,48.7526727076525,43
"1","different",1572.96,1555.845951029,311.1691902058,25
"2","same",1817.20408163265,1265.4960980381,180.785156862586,49
"2","different",1825.44186046512,1265.78677400801,193.030673382141,43
"3","same",1306.27659574468,382.603478593226,55.8084531520658,47
"3","different",1335.02083333333,460.325901646812,66.442320807686,48
"4","same",1099.7037037037,217.775947666978,29.6355527797304,54
"4","different",1612.85416666667,1313.18260449498,189.541582550078,48
"5","same",1693.68181818182,794.801299513435,119.820804244225,44
"5","different",2994.46153846154,2943.50661940169,577.26914195072,26
"6","same",1642.14285714286,736.029611394932,113.571834709535,42
"6","different",1941.125,1221.87321906225,193.195119209928,40
"7","same",1406.11363636364,476.957226686833,71.9040073622141,44
"7","different",1470.45833333333,642.037049316498,92.6700658131483,48
"8","same",1305.57777777778,516.506731844227,76.9962775493298,45
"8","different",1742.70967741935,707.086896760145,126.996555651781,31
"9","same",1358.78571428571,361.331449470298,55.7546530999253,42
"9","different",1452.90625,297.8861396872,52.6593273485755,32
"10","same",1860.92,816.113958545823,163.222791709165,25
"10","different",1625.48717948718,800.257355703542,128.143732937749,39
"11","same",1342.02083333333,457.091195779207,65.9754312318333,48
"11","different",1366.97872340426,538.748166116588,78.5844966701024,47
"12","same",1335.33333333333,443.771741428593,60.3896849314648,54
"12","different",1849.14285714286,1766.939892394,252.419984627715,49
"13","same",1535.44186046512,346.501996306046,52.8410590540655,43
"13","different",1625.12121212121,481.781119750956,83.8673280099577,33
"14","same",1795.33333333333,850.760828121903,119.130344389028,51
"14","different",2458.02325581395,1408.15379788357,214.741440985671,43
"16","same",1260.9375,434.940629059245,76.8873670553337,32
"16","different",1840.25806451613,1002.19598774365,179.99971306872,31
"17","same",1493,1033.70556736432,152.411570940404,46
"17","different",1775.475,884.356436653956,139.829030162846,40
"18","same",1967.07142857143,1711.13497340582,264.033858633813,42
"18","different",1826.77777777778,1506.78511333825,251.130852223042,36
"19","same",1676.625,597.597956244574,94.4885333397249,40
"19","different",1552.72727272727,424.426418069351,63.9846899932071,44
"20","same",1558.86956521739,619.897432687973,91.3988900909134,46
"20","different",1707.5,879.374579552304,132.57070593416,44
"21","same",1437.36170212766,469.739309086846,68.5185203261797,47
"21","different",2153.94285714286,1205.30684262305,203.734041259253,35
"23","same",1610.82,672.888342922372,95.1607820523577,50
"23","different",1670.75,1040.68834626057,150.210424214011,48
"24","same",1278.74,782.823560541439,110.70796962629,50
"24","different",1237.51351351351,397.132263275769,65.2881419088209,37
"25","same",1642.78260869565,716.848909941136,149.473330423829,23
"25","different",1628.25,734.956417201173,138.893707456096,28
"26","same",1557.0612244898,798.739512402804,114.105644628972,49
"26","different",1844.20833333333,1192.26885370018,172.089185907552,48
"29","same",1308.35294117647,477.615318997597,66.879521901902,51
"29","different",1423.4,413.123909627466,69.8306859903463,35
"30","same",1453.58064516129,464.496987732863,83.426121772288,31
"30","different",1580.27027027027,832.528299440547,136.866809331077,37
"31","same",1568.21875,801.233876467032,141.639476841556,32
"31","different",1438.34375,513.847637099973,90.8362871725188,32
"32","same",1231,454.820975769588,63.687675416834,51
"32","different",1493.27777777778,704.368069817037,117.394678302839,36
"33","same",1634.40425531915,812.228407037632,118.475689686893,47
"33","different",2571.5,1421.17553969738,219.29214665949,42
"34","same",1501.97872340426,552.177723806294,80.5433989883319,47
"34","different",1529.65306122449,577.746576184158,82.5352251691654,49
