CASE	SERIAL	REF	QUESTNNR	MODE	STARTED	B101	B201	H101	H201	K101_01	N101	N201	S101	S201	T101	T201	V201_01	TIME001	TIME002	TIME_SUM	MAILSENT	LASTDATA	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE	MISSING	MISSREL	TIME_RSI
17			base	interview	08.04.2024 17:33	5	1	5	1		1	4	5	4	5	5	1	6	33	39		08.04.2024 17:33	1	0	2	2	8	5	1.97
18			base	interview	09.04.2024 16:55	1	1	1	1	Beide waren sehr nett und es lief sehr einfach	2	4	5	5	5	5	2	17	92	109		09.04.2024 16:56	1	0	2	2	0	0	0.7
19			base	interview	10.04.2024 10:09	2	5	1	5		2	5	4	4	5	4	3	54	105	117		10.04.2024 10:11	1	0	2	2	8	5	0.43
20			base	interview	10.04.2024 13:21	1	2	1	2		2	5	5	5	5	5	4	9	68	77		10.04.2024 13:23	1	0	2	2	8	5	1.13
21			base	interview	15.04.2024 15:08	3	1	3	1		1	2	5	3	4	4	5	14	72	86		15.04.2024 15:09	1	0	2	2	8	5	0.88
22			base	interview	15.04.2024 16:20	4	1	5	1		1	3	5	3	5	3	6	10	42	52		15.04.2024 16:21	1	0	2	2	8	5	1.37
23			base	interview	24.04.2024 09:58	1	1	1	1		2	4	5	5	4	4	7	15	45	60		24.04.2024 09:59	1	0	2	2	8	5	1.13
24			base	interview	25.04.2024 15:22	1	1	1	1		1	4	4	4	5	4	8	4	28	32		25.04.2024 15:22	1	0	2	2	8	5	2.63
25			base	interview	25.04.2024 17:08	1	2	1	2		3	4	3	4	4	5	9	19	38	57		25.04.2024 17:09	1	0	2	2	8	5	1.18
27			base	interview	30.04.2024 18:21	3	2	3	2		2	4	4	4	4	4	10	10	59	69		30.04.2024 18:22	1	0	2	2	8	5	1.14
28			base	interview	01.05.2024 08:56	2	1	2	1		4	2	4	5	4	5	11	15	58	73		01.05.2024 08:57	1	0	2	2	8	5	0.96
29			base	interview	01.05.2024 10:29	1	1	1	1		2	5	4	5	4	5	12	9	59	68		01.05.2024 10:30	1	0	2	2	8	5	1.21
30			base	interview	01.05.2024 11:47	1	1	1	1		2	4	5	5	5	5	13	15	129	144		01.05.2024 11:50	1	0	2	2	8	5	0.64
32			base	interview	07.05.2024 11:02	1	1	1	1	Keine VorschlÃ¤ge, interaktion war sehr einfach und natÃ¼rlich	1	5	5	4	5	5	14	7	70	77		07.05.2024 11:04	1	0	2	2	0	0	1.3
33			base	interview	07.05.2024 12:45	1	1	1	1	Die Instruktionen wurden deutlich erklÃ¤rt:)	1	5	5	5	5	5	15	7	83	90		07.05.2024 12:46	1	0	2	2	0	0	1.23
34			base	interview	08.05.2024 08:41	4	1	4	1	Gute Studie	1	5	5	5	5	5	16	13	103	116		08.05.2024 08:43	1	0	2	2	0	0	0.77
35			base	interview	08.05.2024 09:56	3	2	3	2	Nein	3	3	4	3	4	3	17	18	76	94		08.05.2024 09:58	1	0	2	2	0	0	0.76
36			base	interview	09.05.2024 09:37	5	2	5	2	Das eine Bild ist kein Wolf - sorry 	1	4	5	5	5	5	18	18	278	85		09.05.2024 09:42	1	0	2	2	0	0	0.44
37			base	interview	09.05.2024 10:36	1	1	2	1	Die Interaktion war sehr angenhem, hab soweit keine VerbesserungsvorschlÃ¤ge	2	4	5	5	4	4	19	10	126	136		09.05.2024 10:39	1	0	2	2	0	0	0.84
38			base	interview	09.05.2024 14:05	5	1	5	1	nein	1	5	5	5	5	5	20	6	66	72		09.05.2024 14:06	1	0	2	2	0	0	1.47
39			base	interview	09.05.2024 14:59	1	1	1	1	War alles gut!	2	4	5	5	5	5	21	6	36	42		09.05.2024 15:00	1	0	2	2	0	0	1.89
40			base	interview	13.05.2024 16:52	1	1	1	1	Sehr angenehm 	2	5	5	4	5	5	22	13	100	113		13.05.2024 16:54	1	0	2	2	0	0	0.78
41			base	interview	13.05.2024 17:50	3	1	2	1	NÃ¶	2	5	5	4	4	5	23	8	62	70		13.05.2024 17:51	1	0	2	2	0	0	1.26
42			base	interview	13.05.2024 18:36	1	1	1	1	Nein :)	2	4	3	3	4	4	24	6	105	111		13.05.2024 18:38	1	0	2	2	0	0	1.28
43			base	interview	14.05.2024 17:15	3	2	3	2	/	1	5	4	4	4	5	25	14	50	64		14.05.2024 17:17	1	0	2	2	0	0	1.08
44			base	interview	14.05.2024 18:23	1	1	1	1	Nein <3	1	4	5	5	5	5	26	10	48	58		14.05.2024 18:24	1	0	2	2	0	0	1.27
45			base	interview	14.05.2024 19:12	1	1	1	1	Nein	2	5	5	5	4	5	27	24	57	81		14.05.2024 19:13	1	0	2	2	0	0	0.83
46			base	interview	15.05.2024 10:21	1	1	1	1	Interaktion und Experiment waren echt geil 	1	5	5	5	5	5	28	10	77	87		15.05.2024 10:23	1	0	2	2	0	0	1.01
